job_id,requires_degree,has_soft_skills,soft_skill_type,urgency,tech_role
3894878268,False,True,other,medium,False
3904724696,False,False,none,medium,True
3905233995,False,True,leadership,medium,False
3906097477,False,True,other,medium,False
3901945093,False,True,communication,medium,False
3901380024,False,True,communication,medium,True
3899528364,True,True,leadership,medium,True
3904503765,False,True,analytical,medium,False
3901372837,False,True,communication,high,True
3905307051,False,False,none,medium,False
3905335756,False,True,teamwork,medium,False
3904951405,False,True,teamwork,medium,True
3902301156,False,True,communication,medium,False
3906254108,False,True,teamwork,medium,False
3895208346,False,True,leadership,medium,False
3902863930,True,True,other,medium,True
3903816465,False,False,none,medium,False
3904424443,False,True,leadership,medium,False
3891286352,False,True,other,medium,False
3885822633,False,False,none,medium,False
3894881521,True,False,none,medium,False
3901989836,False,False,none,medium,True
3888974663,False,True,communication,medium,False
3903479208,False,False,none,medium,False
3902762021,False,True,teamwork,medium,False
3890894326,False,False,none,medium,False
3905875258,False,False,none,medium,False
3898179079,False,True,teamwork,medium,False
3887844150,True,True,leadership,medium,True
3899525326,False,True,other,medium,True
3906202057,False,False,none,medium,True
3895555173,False,True,communication,medium,False
2989631782,False,True,teamwork,medium,False
3895491371,False,False,none,medium,False
3905335242,False,True,teamwork,medium,False
3889729945,False,True,leadership,medium,True
3894210913,False,True,leadership,medium,False
3905661905,False,True,leadership,medium,False
3906254204,False,False,none,medium,False
3885815176,False,True,communication,medium,False
3899521777,False,False,none,medium,False
3903846043,False,True,leadership,medium,False
3887492021,False,True,other,medium,False
3884447183,False,True,teamwork,medium,True
3904387815,False,True,teamwork,medium,True
3887486398,False,True,other,medium,False
3904930089,False,True,leadership,medium,True
3894285760,False,True,analytical,medium,False
3891073278,False,True,leadership,medium,False
3904990315,False,True,leadership,medium,False
3905254181,False,True,communication,medium,False
3887700856,False,True,teamwork,medium,False
3900958983,False,False,none,medium,False
3902750970,False,True,teamwork,medium,False
3903840986,False,False,none,medium,False
3904951678,False,False,none,medium,True
3906255374,False,False,none,medium,True
3885849881,False,True,leadership,medium,False
3887869544,False,False,none,medium,False
3904919929,True,False,none,medium,True
3902790395,False,False,none,medium,False
3903460905,False,True,communication,medium,False
3886884223,False,True,communication,medium,True
3904358982,False,True,leadership,medium,False
3890890588,False,False,none,medium,True
3904390507,False,True,leadership,medium,False
3898158491,True,True,teamwork,medium,True
3901979895,False,True,teamwork,medium,True
3905331108,False,True,communication,medium,False
3905283857,False,False,none,medium,True
3903185019,False,True,communication,medium,False
3900980088,False,False,none,medium,False
3902837869,False,False,none,medium,False
3905886074,False,True,analytical,low,True
3904365777,False,False,none,medium,True
3905652217,False,True,leadership,medium,False
3906247541,False,False,none,medium,False
3884927440,False,True,analytical,medium,False
3905229734,False,True,analytical,medium,True
3895807348,False,True,other,medium,False
3899523517,False,False,none,medium,True
3905252217,False,True,leadership,medium,False
3906255725,False,False,none,medium,False
3906249342,False,True,communication,medium,False
3905684951,False,True,communication,medium,False
3901942133,False,True,communication,medium,True
3885826623,False,True,other,medium,False
3901942374,True,False,none,medium,True
3888938161,True,True,leadership,medium,False
3901689597,False,True,other,medium,False
3886214538,False,True,communication,medium,False
3895553902,False,True,communication,low,False
3893511187,False,True,other,medium,True
3901937531,False,True,communication,medium,True
3894552058,False,False,none,medium,False
3901673732,False,True,other,low,False
3901956571,False,True,other,medium,False
3901963365,False,True,other,medium,False
3904364582,False,True,leadership,medium,False
3901961854,False,False,none,medium,True
3905329603,False,True,communication,medium,False
3903830103,False,False,none,medium,False
3901173508,False,True,leadership,medium,False
3902829676,False,False,none,medium,False
3902864464,False,False,none,medium,False
3904993383,False,True,other,medium,True
3891279294,False,False,none,medium,False
3903808590,False,False,none,medium,True
3895273615,False,True,other,medium,True
3898170759,False,True,other,medium,False
3901671936,False,False,none,high,True
3889240410,False,True,other,medium,False
3904939645,True,True,communication,medium,False
3904085783,False,True,other,medium,False
3902918678,False,True,analytical,medium,False
3895274508,True,False,none,medium,False
3905305716,False,True,other,medium,False
3902750853,False,True,leadership,medium,False
3902950518,False,True,leadership,medium,True
3886478600,False,True,teamwork,medium,False
3902929464,False,False,none,medium,False
3885840835,False,True,leadership,medium,True
3900082069,False,True,teamwork,medium,True
3898173815,False,True,communication,medium,False
3887864926,False,True,communication,medium,False
3895490639,False,True,leadership,medium,False
3905237868,False,False,none,medium,False
3901357662,False,False,none,medium,False
3894298791,False,True,communication,medium,False
3899502909,False,True,other,medium,False
3889499838,False,True,other,medium,False
3904416641,False,True,communication,medium,True
3905372698,False,False,none,medium,False
3902761005,False,True,communication,medium,False
3905229021,False,False,none,high,True
3904095665,False,True,leadership,medium,False
3903841285,False,True,other,medium,False
3904921636,False,True,leadership,medium,True
3904505754,False,True,leadership,medium,False
3902741930,False,True,other,medium,False
3887860601,False,True,leadership,medium,False
3884912831,False,False,none,medium,False
3898169823,False,True,leadership,medium,False
3885843864,False,True,analytical,medium,False
3884986874,False,True,analytical,medium,False
3887836501,False,False,none,medium,False
3884911125,False,True,leadership,medium,False
3888031921,False,True,analytical,medium,False
3905353098,False,False,none,medium,True
3902747739,False,True,leadership,medium,False
3903848540,False,True,communication,medium,False
3903808300,False,True,analytical,medium,False
3903813163,False,True,communication,medium,False
3904960323,False,False,none,medium,True
3903429354,False,True,teamwork,medium,False
3888021989,False,True,leadership,medium,False
3888014144,False,True,other,medium,False
3905341063,False,True,communication,medium,True
3902317986,False,True,leadership,medium,False
3905256219,False,True,other,medium,True
3886485329,False,True,teamwork,medium,True
3901962633,False,True,communication,medium,False
3903831133,False,True,communication,medium,False
3884848974,False,True,leadership,medium,True
3906227846,False,True,teamwork,medium,True
3905309114,False,True,communication,medium,False
3895219558,False,True,analytical,medium,False
3905230674,False,True,teamwork,medium,True
3903429654,False,True,analytical,medium,False
3901988122,True,False,none,medium,True
3902741603,False,True,communication,medium,False
3884437692,False,True,communication,medium,False
3905337354,False,True,leadership,medium,False
3894546425,False,True,teamwork,medium,True
3906220782,False,True,teamwork,medium,False
3904418301,False,True,communication,medium,False
3889746426,False,False,none,medium,False
3895521959,False,True,teamwork,medium,False
3900081480,False,False,none,medium,False
3887841159,False,False,none,medium,False
3599918756,False,True,leadership,medium,False
3884832745,False,False,none,medium,False
3901945352,False,True,leadership,medium,False
3898163270,False,True,analytical,medium,False
3894902801,False,True,teamwork,medium,True
3906250974,False,True,analytical,medium,False
3901981038,False,True,teamwork,medium,False
3904385888,False,True,leadership,medium,True
3898165369,False,True,communication,medium,False
3906077760,False,True,communication,medium,False
3904940235,True,False,none,medium,False
3884857552,False,True,communication,medium,False
3902866328,False,True,leadership,medium,False
3904952218,False,False,none,medium,True
3899525123,False,True,analytical,medium,True
3904722362,True,True,communication,medium,False
3905818561,False,True,leadership,medium,False
3906223755,False,True,leadership,medium,True
3904917779,False,True,other,medium,False
3905275658,False,True,analytical,medium,False
3895809547,False,False,none,medium,False
3895547796,False,True,teamwork,medium,True
3901695775,False,False,none,medium,False
3891083182,False,False,none,medium,False
3887896720,False,True,leadership,medium,False
3905331128,False,False,none,medium,False
3888961558,False,True,communication,medium,False
3906256319,False,False,none,medium,False
3901182391,False,True,communication,medium,False
3886851905,False,True,communication,medium,True
3905235860,False,False,none,medium,False
3900985309,False,True,leadership,medium,False
3905211033,False,True,teamwork,medium,False
3902367091,False,True,communication,medium,False
3889418596,False,False,none,medium,False
3905391760,False,True,analytical,medium,True
3903846316,True,True,teamwork,medium,False
3901681154,True,False,none,medium,True
3902844173,False,True,leadership,medium,False
3901961538,False,False,none,medium,False
3901344950,False,True,analytical,medium,True
3904424019,False,False,none,medium,False
3889415333,True,False,none,medium,True
3889493057,False,False,none,medium,True
3904386845,False,True,teamwork,medium,False
3888025700,False,True,other,medium,False
3885855643,False,True,communication,medium,False
3887881903,False,True,other,medium,False
3904422571,False,True,communication,medium,False
3884835256,False,True,teamwork,medium,False
3905395598,False,True,communication,medium,False
3905339151,False,False,none,medium,False
3902753694,False,False,none,medium,True
3900089195,False,False,none,medium,False
3899519173,False,False,none,medium,False
3904070624,False,False,none,medium,False
3905336004,False,False,none,medium,False
3902359467,False,True,leadership,medium,False
3903879133,False,True,communication,medium,False
3904722951,False,True,other,medium,False
3905307919,False,False,none,high,False
3886448858,True,True,teamwork,medium,False
3884430719,True,False,none,medium,False
3905241202,False,False,none,medium,True
3885104126,False,False,none,medium,False
3895229515,False,True,other,medium,False
3888031773,True,False,none,medium,True
3901947682,False,False,none,medium,True
3905870527,False,False,none,medium,True
3901391997,False,True,communication,medium,False
3906254139,False,True,communication,medium,False
3905330290,False,True,teamwork,high,False
3905292765,False,True,leadership,medium,False
3894564166,False,True,communication,medium,False
